iter	Passed	Remaining
1347	54958	4022108
1348	55007	4022612
1349	55052	4022927
1350	55098	4023235
1351	55140	4023293
1352	55183	4023424
1353	55231	4023895
1354	55277	4024233
1355	55316	4024067
1356	55360	4024241
1357	55407	4024659
1358	55458	4025365
1359	55504	4025713
1360	55547	4025842
1361	55594	4026209
1362	55639	4026472
1363	55687	4026945
1364	55734	4027343
1365	55775	4027365
1366	55820	4027638
1367	55865	4027849
1368	55910	4028123
1369	55951	4028095
1370	55998	4028488
1371	56048	4029108
1372	56092	4029309
1373	56147	4030311
1374	56200	4031131
1375	56259	4032349
1376	56308	4032939
1377	56355	4033291
1378	56403	4033802
1379	56453	4034406
1380	56501	4034819
1381	56546	4035065
1382	56596	4035733
1383	56645	4036251
1384	56691	4036538
1385	56734	4036698
1386	56782	4037100
1387	56826	4037268
1388	56873	4037697
1389	56917	4037887
1390	56962	4038121
1391	57007	4038352
1392	57051	4038561
1393	57096	4038796
1394	57133	4038473
1395	57174	4038438
1396	57214	4038302
1397	57254	4038232
1398	57292	4037954
1399	57332	4037814
1400	57371	4037677
1401	57411	4037552
1402	57454	4037648
1403	57492	4037431
1404	57531	4037213
1405	57567	4036823
1406	57608	4036796
1407	57645	4036522
1408	57685	4036380
1409	57723	4036138
1410	57761	4035870
1411	57798	4035592
1412	57836	4035304
1413	57876	4035256
1414	57916	4035150
1415	57955	4034944
1416	57993	4034722
1417	58029	4034352
1418	58068	4034129
1419	58107	4033990
1420	58144	4033686
1421	58181	4033363
1422	58218	4033039
1423	58258	4032923
1424	58296	4032692
1425	58336	4032613
1426	58374	4032350
1427	58413	4032138
1428	58453	4032080
1429	58491	4031828
1430	58529	4031607
1431	58571	4031589
1432	58609	4031348
1433	58645	4031029
1434	58688	4031087
1435	58727	4030920
1436	58766	4030743
1437	58802	4030408
1438	58841	4030242
1439	58880	4030044
1440	58918	4029784
1441	58955	4029525
1442	58994	4029345
1443	59033	4029162
1444	59072	4028999
1445	59110	4028722
1446	59146	4028410
1447	59184	4028120
1448	59222	4027916
1449	59260	4027637
1450	59299	4027516
1451	59336	4027229
1452	59374	4026938
1453	59410	4026599
1454	59449	4026435
1455	59485	4026070
1456	59521	4025701
1457	59559	4025477
1458	59597	4025225
1459	59624	4024217
1460	59658	4023753
1461	59699	4023686
1462	59737	4023466
1463	59774	4023176
1464	59818	4023383
1465	59863	4023582
1466	59908	4023835
1467	59948	4023705
1468	59986	4023505
1469	60023	4023206
1470	60061	4022965
1471	60100	4022834
1472	60139	4022634
1473	60176	4022371
1474	60213	4022032
1475	60250	4021741
1476	60288	4021506
1477	60325	4021231
1478	60364	4021061
1479	60402	4020852
1480	60438	4020516
1481	60476	4020251
1482	60514	4020046
1483	60551	4019740
1484	60589	4019483
1485	60630	4019455
1486	60672	4019520
1487	60712	4019459
1488	60753	4019416
1489	60791	4019146
1490	60827	4018838
1491	60865	4018576
1492	60902	4018306
1493	60940	4018097
1494	60978	4017831
